id,review,rating
1,"The product arrived on time and works perfectly. Very happy with my purchase!",5
2,"Terrible experience. Broken item and customer service was unhelpful.",1
3,"It's okay. Does what it says but nothing special.",3
4,"Absolutely love it! Best buy I've made this year. Highly recommend.",5
5,"Waste of money. Stopped working after two days. Do not buy.",1
6,"Good value for the price. Shipping was slow though.",4
7,"Horrible quality. Fell apart immediately. Requesting a refund.",1
8,"Exactly what I needed. No complaints.",5
9,"Not sure how I feel. It works but the instructions were confusing.",3
10,"Outstanding! Exceeded my expectations. Will order again.",5
